model,split,K,recall,ndcg,map,coverage,users_evaluated,neg_per_user
ALS,TEST,10,0.037026,0.029376,0.009943,0.644737,6040,500
HYBRID,TEST,10,0.043793,0.038159,0.015814,0.528340,6040,500
