model,split,K,recall,ndcg,map,coverage,users_evaluated,neg_per_user
ALS,TEST,10,0.045139,0.034558,0.011899,0.648785,6040,500
HYBRID,TEST,10,0.045388,0.038793,0.015577,0.526569,6040,500
