model,split,K,recall,ndcg,map,coverage,users_evaluated,neg_per_user
ALS,TEST,10,0.099395,0.072830,0.030641,0.143537,69878,1000
HYBRID,TEST,10,0.042638,0.038035,0.021220,0.115533,69878,1000
